0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1597 (+/-0.011) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1597 (+/-0.011) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1597 (+/-0.011) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1600 (+/-0.012) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1600 (+/-0.012) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1600 (+/-0.012) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1600 (+/-0.012) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1600 (+/-0.012) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1600 (+/-0.012) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.4515 (+/-0.028) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.4515 (+/-0.028) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.4515 (+/-0.028) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.4513 (+/-0.027) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.4513 (+/-0.027) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.4513 (+/-0.027) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.4516 (+/-0.028) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.4516 (+/-0.028) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.4516 (+/-0.028) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.3087 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.3087 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.3087 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.3092 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.3092 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.3092 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.3084 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.3084 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.3084 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
